user_id,industry,location,moved_after_2019
1301,Information Technology,istanbul,1
6950,Information Technology,istanbul,0
4880,Others,diğer,0
26046,Information Technology,istanbul,0
11005,Financial Services,istanbul,0
47498,Information Technology,ankara,1
13722,Others,istanbul,1
61135,Others,ankara,0
14242,Financial Services,kocaeli,1
44948,Information Technology,diğer,0
65923,Automotive and Manufacturing,istanbul,0
29026,Information Technology,istanbul,0
33971,Information Technology,istanbul,1
45820,Information Technology,ankara,0
40150,Others,istanbul,0
3576,Others,istanbul,1
1677,Information Technology,diğer,0
11204,Information Technology,istanbul,0
60843,Aerospace and Defense,ankara,1
48906,Information Technology,diğer,1
25534,Information Technology,istanbul,1
15537,Information Technology,istanbul,1
472,Information Technology,diğer,1
65040,Others,istanbul,1
24147,Others,diğer,0
14620,Information Technology,istanbul,0
4598,Food and Beverage,sakarya,0
33138,Logistics and Supply Chain,diğer,0
16871,Information Technology,istanbul,0
16118,Information Technology,diğer,0
22581,Information Technology,diğer,0
12595,Information Technology,istanbul,1
9437,Information Technology,istanbul,1
53525,Information Technology,samsun,0
44170,Information Technology,diğer,1
32805,Information Technology,istanbul,0
3599,Aerospace and Defense,istanbul,1
55955,Others,istanbul,0
64211,Automotive and Manufacturing,istanbul,1
49355,Information Technology,ankara,0
32141,Others,diğer,0
53746,Automotive and Manufacturing,bursa,0
65651,Information Technology,istanbul,1
10573,Financial Services,istanbul,0
32557,Machinery and Equipment,diğer,0
35150,Information Technology,diğer,0
43772,Machinery and Equipment,diğer,1
16495,Automotive and Manufacturing,istanbul,1
38391,Information Technology,istanbul,0
56002,Information Technology,istanbul,1
49826,Information Technology,istanbul,1
46199,Information Technology,diğer,0
33446,Others,istanbul,1
41711,Information Technology,istanbul,0
29000,Others,diğer,1
19181,Information Technology,istanbul,0
53471,Information Technology,diğer,0
24714,Information Technology,diğer,0
40250,Information Technology,istanbul,0
3022,Information Technology,diğer,0
13252,Automotive and Manufacturing,diğer,1
26426,Information Technology,ankara,0
47569,Consumer Goods,ankara,0
38770,Information Technology,istanbul,1
5497,Automotive and Manufacturing,diğer,0
2055,Information Technology,istanbul,1
49108,Construction and Engineering,ankara,0
52056,Financial Services,istanbul,0
27812,Information Technology,istanbul,1
21771,Information Technology,istanbul,1
33112,Information Technology,istanbul,1
1042,Information Technology,diğer,0
1010,Automotive and Manufacturing,diğer,0
816,Education,diğer,0
61554,Aerospace and Defense,ankara,1
53575,Financial Services,istanbul,0
20335,Information Technology,istanbul,1
36226,Information Technology,istanbul,0
29022,Information Technology,istanbul,1
27883,Information Technology,istanbul,1
56830,Information Technology,ankara,1
35869,Others,istanbul,0
61455,Aerospace and Defense,ankara,1
44413,Others,diğer,0
38595,Financial Services,diğer,1
36264,Information Technology,istanbul,0
45129,Information Technology,ankara,0
3089,Automotive and Manufacturing,trabzon,0
54517,Aerospace and Defense,ankara,0
18089,Information Technology,istanbul,1
3802,Information Technology,diğer,1
37110,Automotive and Manufacturing,diğer,1
40179,Information Technology,istanbul,1
22416,Information Technology,istanbul,0
54050,Information Technology,istanbul,0
33516,Information Technology,istanbul,0
65970,Information Technology,istanbul,1
2631,Information Technology,istanbul,0
41679,Information Technology,istanbul,0
53743,Financial Services,diğer,0
64924,Information Technology,istanbul,0
26940,Information Technology,diğer,0
31384,Automotive and Manufacturing,istanbul,1
51939,Automotive and Manufacturing,ankara,1
45992,Information Technology,istanbul,1
38163,Automotive and Manufacturing,istanbul,1
49896,Information Technology,diğer,0
62254,Machinery and Equipment,istanbul,0
42287,Education,ankara,1
8980,Aerospace and Defense,ankara,0
22549,Information Technology,diğer,1
3783,Information Technology,istanbul,1
53106,Information Technology,istanbul,1
4878,Entertainment and Gaming,istanbul,1
38321,Retail and Wholesale,istanbul,0
54194,Information Technology,ankara,1
7600,Information Technology,ankara,0
47186,Others,istanbul,0
22923,Information Technology,istanbul,0
58141,Others,istanbul,0
11374,Information Technology,diğer,0
18808,Information Technology,istanbul,0
2210,Financial Services,istanbul,0
54543,Aerospace and Defense,ankara,0
61940,Information Technology,istanbul,0
42454,Information Technology,istanbul,0
60036,Energy,istanbul,1
49770,Information Technology,istanbul,1
55729,Automotive and Manufacturing,konya,0
60012,Information Technology,ankara,1
20220,Information Technology,istanbul,0
45630,Others,istanbul,0
28963,Information Technology,istanbul,1
12898,Information Technology,ankara,0
65838,Information Technology,istanbul,1
51467,Information Technology,istanbul,1
16369,Information Technology,istanbul,1
56579,Information Technology,ankara,1
48144,Aerospace and Defense,ankara,1
23221,Aerospace and Defense,ankara,1
42422,Information Technology,istanbul,1
51198,Information Technology,istanbul,0
15669,Information Technology,diğer,0
42586,Information Technology,diğer,0
10811,Information Technology,istanbul,0
23030,Information Technology,istanbul,1
51351,Information Technology,diğer,0
35810,Consumer Goods,diğer,0
59756,Information Technology,ankara,1
29727,Automotive and Manufacturing,istanbul,0
40144,Automotive and Manufacturing,istanbul,0
43209,Food and Beverage,diğer,1
44793,Information Technology,diğer,1
45821,Aerospace and Defense,ankara,1
46250,Information Technology,istanbul,0
17842,Others,istanbul,0
36700,Information Technology,istanbul,0
