user_id,language,proficiency
8,İngilizce,full_professional
8,Türkçe,native_or_bilingual
8,Fransızca,elementary
10,ingilizce,
11,Turkish,native_or_bilingual
11,English,professional_working
11,Kurdish,native_or_bilingual
12,Türkçe,native_or_bilingual
12,English,professional_working
13,İngilizce,full_professional
13,Almanca,limited_working
14,English,professional_working
14,Türkçe,native_or_bilingual
17,Türkçe,
17,İngilizce,
18,Türkçe,
20,English,professional_working
20,Turkish,native_or_bilingual
22,Türkçe,native_or_bilingual
22,İngilizce,professional_working
26,İngilizce,limited_working
26,Türkçe,native_or_bilingual
32,English,professional_working
32,Turkish,native_or_bilingual
38,English,professional_working
38,Turkish,native_or_bilingual
39,İngilizce,limited_working
44,İngilizce,limited_working
44,Türkçe,native_or_bilingual
49,English,
50,İngilizce,limited_working
53,Almanca,elementary
53,İngilizce,limited_working
56,Türkçe,native_or_bilingual
56,İngilizce,professional_working
57,English,limited_working
57,Japanese,elementary
57,Turkish,native_or_bilingual
60,Türkçe,native_or_bilingual
60,İngilizce,limited_working
63,English,full_professional
63,Turkish,native_or_bilingual
64,Türkçe,
64,İngilizce,
66,Türkçe,native_or_bilingual
66,İngilizce,limited_working
67,Türkçe,
67,İngilizce,
70,Turkish,native_or_bilingual
70,English,limited_working
73,İngilizce,professional_working
73,İspanyolca,elementary
75,ingilizce,
80,English,
80,Turkish,
81,Türkçe,native_or_bilingual
81,İngilizce,professional_working
83,İngilizce,professional_working
83,Almanca,elementary
85,English,professional_working
85,Greek,elementary
86,Türkçe,
86,İngilizce,
92,İngilizce,professional_working
92,Türkçe,native_or_bilingual
93,İngilizce,elementary
99,Türkçe,
99,İngilizce,
100,"İngilizce, Orta (1100-1500)",
100,"Almanca, Orta Yüksek (yaklaşık 1050-1500)",
102,Türkçe,native_or_bilingual
102,English,limited_working
107,Türkçe,native_or_bilingual
107,İngilizce,professional_working
110,English,professional_working
111,İngilizce,limited_working
111,Türkçe,native_or_bilingual
114,İngilizce,limited_working
114,Türkçe,native_or_bilingual
115,Türkçe,native_or_bilingual
115,İngilizce,limited_working
119,İngilizce,limited_working
120,Türkçe,
120,Almanca,
120,İngilizce,
122,İngilizce,
125,Türkçe,native_or_bilingual
125,İngilizce,professional_working
129,Türkçe,native_or_bilingual
129,İngilizce,professional_working
129,Türkmence,professional_working
129,Almanca,elementary
130,Türkçe,native_or_bilingual
130,ingilzce,professional_working
134,İngilizce,limited_working
134,Türkçe,native_or_bilingual
135,Türkçe,native_or_bilingual
135,ingilizce,professional_working
136,Türkçe,native_or_bilingual
136,İngilizce,professional_working
136,Korece,elementary
140,Türkçe,
140,Almanca,
140,İngilizce,
141,İngilizce,full_professional
141,Almanca,limited_working
149,"İngilizce, Orta (1100-1500)",
149,"Almanca, Orta Yüksek (yaklaşık 1050-1500)",
154,Türkçe,
154,İngilizce,
156,"İngilizce, Orta (1100-1500)",
156,"Almanca, Orta Yüksek (yaklaşık 1050-1500)",
157,English,professional_working
157,Turkish,native_or_bilingual
159,Türkçe,native_or_bilingual
159,İngilizce,professional_working
159,Korece,elementary
163,İngilizce,limited_working
164,Türkçe,native_or_bilingual
164,İngilizce,limited_working
166,İngilizce,professional_working
166,İspanyolca,elementary
167,English,professional_working
169,English,professional_working
169,Turkish,native_or_bilingual
171,English,
171,Turkish,
172,"İngilizce, Orta (1100-1500)",
172,"Almanca, Orta Yüksek (yaklaşık 1050-1500)",
175,İngilizce,professional_working
175,Almanca,limited_working
180,İngilizce,limited_working
188,İngilizce ,
188,Türkçe,
189,İngizce,limited_working
189,Türkçe,native_or_bilingual
194,English,professional_working
194,Türkçe,native_or_bilingual
195,İngilizce,limited_working
195,Türkçe,native_or_bilingual
197,English,limited_working
198,English,full_professional
198,Arabic,native_or_bilingual
198,Turkish,full_professional
201,Turkish,native_or_bilingual
201,English,limited_working
202,İngilizce,limited_working
203,Türkçe,
203,İngilizce,
203,Almanca,
206,İngilizce,professional_working
206,Türkçe,native_or_bilingual
210,Rusça,elementary
210,İngilizce,professional_working
216,Türkçe,native_or_bilingual
216,İngilizce,limited_working
218,İngilizce,limited_working
218,Türkçe,native_or_bilingual
220,İngilizce,full_professional
222,Türkçe,native_or_bilingual
222,İngilizce,professional_working
223,Türkçe,native_or_bilingual
223,İngilizce,full_professional
223,İspanyolca,elementary
224,Türkçe,native_or_bilingual
224,İngilizce,professional_working
226,Türkçe,
226,İngilizce,
227,İngilizce,elementary
228,Türkçe,native_or_bilingual
228,İngilizce,limited_working
228,Almanca,elementary
233,Türkçe,
233,İngilizce,limited_working
235,İngilizce,professional_working
236,İngilizce,full_professional
237,ingilizce,professional_working
238,Turkish,native_or_bilingual
238,English,elementary
238,Kurdish,native_or_bilingual
243,İngilizce,professional_working
243,Romanca,elementary
243,Türkçe,native_or_bilingual
243,Lehçe,elementary
244,English,full_professional
248,Türkçe,native_or_bilingual
248,İngilizce,elementary
249,İngilizce,
251,Turkish,native_or_bilingual
251,English,limited_working
255,İngilizce,limited_working
255,Türkçe,native_or_bilingual
256,Türkçe,native_or_bilingual
256,İngilizce,full_professional
260,İngilizce,full_professional
268,Türkçe,native_or_bilingual
268,İngilizce,professional_working
268,Almanca,elementary
276,Türkçe,native_or_bilingual
276,İngilizce,professional_working
277,English,limited_working
277,Kurdish,native_or_bilingual
278,English,full_professional
278,Turkish,native_or_bilingual
281,Türkçe,native_or_bilingual
281,İngilizce,professional_working
282,Polish,elementary
282,Turkish,native_or_bilingual
282,English,professional_working
286,Türkçe,native_or_bilingual
286,İngilizce,professional_working
290,İngilizce,professional_working
292,İngilizce,limited_working
304,Ingilizce,
305,Arabic,native_or_bilingual
305,English,limited_working
305,Turkish,professional_working
307,İngilizce,limited_working
310,İngilizce,limited_working
311,Türkçe,native_or_bilingual
311,İngilizce,limited_working
314,Turkish,full_professional
314,English,professional_working
314,Kurdish,full_professional
320,İngilizce,limited_working
320,Türkçe,native_or_bilingual
321,İngilizce,limited_working
322,İngilizce,professional_working
322,Türkçe,native_or_bilingual
327,İngilizce,limited_working
327,Korece,elementary
334,Türkçe,
334,İngilizce,
337,İngilizce,
338,İngilizce,limited_working
338,Almanca,elementary
341,Türkçe,native_or_bilingual
341,İngilizce,professional_working
345,Türkçe,native_or_bilingual
345,"İngilizce, Eski (yaklaşık 450-1100)",professional_working
346,İngilizce,limited_working
347,Türkçe,native_or_bilingual
347,İngilizce,limited_working
347,Japonca,elementary
351,Türkçe,
351,İngilizce,
353,İngilizce,limited_working
353,Türkçe,native_or_bilingual
356,Turkish,native_or_bilingual
356,English,professional_working
358,ingilizce,professional_working
358,Almanca,elementary
361,İngilizce,elementary
364,English,
364,Turkish,
372,İngilizce,limited_working
372,Turkish,native_or_bilingual
373,Türkçe,
373,ingilizce,
377,İngilizce,professional_working
378,Türkçe,native_or_bilingual
378,İngilizce,professional_working
381,Türkçe,native_or_bilingual
381,İngilizce,limited_working
383,İngilizce,elementary
388,İngilizce,professional_working
388,Türkçe,native_or_bilingual
390,Türkçe,native_or_bilingual
390,English,professional_working
395,İngilizce,professional_working
398,İngilizce,limited_working
398,İspanyolca,elementary
398,Türkçe,native_or_bilingual
404,Türkçe,native_or_bilingual
404,İngilizce,limited_working
406,İngilizce,professional_working
406,Türkçe,native_or_bilingual
409,İngilizce,elementary
409,Türkçe,native_or_bilingual
410,İngilizce,professional_working
410,Almanca,limited_working
416,Türkçe,
416,İngilizce,
418,"İngilizce, Orta (1100-1500)",
418,"Almanca, Orta Yüksek (yaklaşık 1050-1500)",
419,English,full_professional
419,Turkish,native_or_bilingual
420,İngilizce,limited_working
421,English,professional_working
426,İngizce,limited_working
426,Türkçe,native_or_bilingual
429,İngilizce,limited_working
431,Turkish,native_or_bilingual
431,English,elementary
431,Kurdish,native_or_bilingual
432,İngilizce,
432,Almanca,
433,İngilizce,elementary
433,Türkçe,native_or_bilingual
435,"İngilizce, Eski (yaklaşık 450-1100)",
436,Türkçe,
436,İngilizce,
436,Japonca,
437,İngilizce,professional_working
440,İngilizce,professional_working
441,Türkçe,
441,İngilizce,
442,Türkçe,native_or_bilingual
442,İngilizce,professional_working
443,Arabic,
443,English,
448,English,professional_working
449,Türkçe,native_or_bilingual
449,İngilizce,professional_working
450,İngilizce,limited_working
451,İngilizce,limited_working
451,Türkçe,native_or_bilingual
454,Türkçe,native_or_bilingual
454,İngilizce,limited_working
460,Türkçe,native_or_bilingual
460,İngilizce,professional_working
460,Korece,elementary
461,Rusça,professional_working
461,İngilizce,professional_working
461,Türkçe,native_or_bilingual
461,Almanca,limited_working
462,İngilizce,professional_working
462,Almanca,limited_working
463,"İngilizce, Orta (1100-1500)",
463,"Almanca, Orta Yüksek (yaklaşık 1050-1500)",
465,İngilizce,professional_working
466,İngilizce,elementary
466,Türkçe,native_or_bilingual
468,İngilizce,elementary
468,Türkçe,native_or_bilingual
470,İngizce,limited_working
470,Türkçe,native_or_bilingual
471,Türkçe,
471,İngilizce,
473,Türkçe,native_or_bilingual
473,İngilizce,limited_working
475,Türkçe,native_or_bilingual
475,İngilizce,professional_working
476,Rusça,professional_working
476,İngilizce,professional_working
476,Türkçe,native_or_bilingual
476,Almanca,limited_working
477,Türkçe,native_or_bilingual
477,İngilizce,professional_working
477,Korece,elementary
478,"İngilizce, Orta (1100-1500)",
478,"Almanca, Orta Yüksek (yaklaşık 1050-1500)",
479,Türkçe,native_or_bilingual
479,Azerice,native_or_bilingual
479,İngilizce,elementary
481,Turkish,native_or_bilingual
481,English,limited_working
483,Türkçe,native_or_bilingual
