user_id,industry,location,moved_after_2019
1301,Information Technology and Services,"Istanbul, Istanbul, Turkey",1
6950,Internet,"Istanbul, Istanbul, Turkey",0
4880,Online Media,Turkey,0
26046,Telecommunications,"Istanbul, Istanbul, Turkey",0
11005,Banking,"Istanbul, Turkey",0
47498,Computer Software,"Ankara, Ankara, Turkey",1
13722,Mobile Games,"Istanbul, Turkey",1
61135,Government Administration,"Ankara, Turkey",0
14242,Financial Services,"Gebze, Kocaeli, Turkey",1
44948,Computer Software,Turkey,0
65923,Electrical/Electronic Manufacturing,"Istanbul, Istanbul, Turkey",0
29026,Computer Software,"Istanbul, Turkey",0
33971,Computer Software,"Istanbul, Istanbul, Turkey",1
45820,Computer Software,"Ankara, Turkey",0
40150,Wholesale,"Fatih, Istanbul, Turkey",0
3576,Entertainment,"Kartal, Istanbul, Turkey",1
1677,Computer Software,Turkey,0
11204,Computer Software,"Istanbul, Turkey",0
60843,Defense & Space,"Ankara, Ankara, Turkey",1
48906,Computer & Network Security,Turkey,1
25534,Computer Software,"Istanbul, Turkey",1
15537,Telecommunications,"Istanbul, Turkey",1
472,Internet,Turkey,1
65040,Semiconductors,"Kartal, Istanbul, Turkey",1
24147,Renewables & Environment,"İzmir, Turkey",0
14620,Computer Software,"Istanbul, Turkey",0
4598,Food Production,"Hendek, Sakarya, Turkey",0
33138,Logistics and Supply Chain,Turkey,0
16871,Computer Software,"Üsküdar, Istanbul, Turkey",0
16118,Computer Software,"Gaziemir, İzmir, Turkey",0
22581,Computer Software,"Amasya, Turkey",0
12595,Information Technology and Services,"Istanbul, Istanbul, Turkey",1
9437,Computer Software,"Istanbul, Istanbul, Turkey",1
53525,Program Development,"Samsun, Turkey",0
44170,Information Technology and Services,"İzmir, Turkey",1
32805,Computer Software,"Istanbul, Istanbul, Turkey",0
3599,Defense & Space,"Istanbul, Turkey",1
55955,"Leisure, Travel & Tourism","Üsküdar, Istanbul, Turkey",0
64211,Electrical/Electronic Manufacturing,"Istanbul, Istanbul, Turkey",1
49355,Information Technology and Services,"Ankara, Ankara, Turkey",0
32141,Real Estate,Turkey,0
53746,Industrial Automation,"Bursa, Turkey",0
65651,Computer Software,"Istanbul, Turkey",1
10573,Financial Services,"Istanbul, Istanbul, Turkey",0
32557,Machinery,Turkey,0
35150,Program Development,Turkey,0
43772,Machinery,"Buca, İzmir, Turkey",1
16495,Electrical/Electronic Manufacturing,"Istanbul, Istanbul, Turkey",1
38391,Telecommunications,"Istanbul, Istanbul, Turkey",0
56002,Information Technology and Services,"Istanbul, Turkey",1
49826,Computer Software,"Istanbul, Turkey",1
46199,Information Technology and Services,Turkey,0
33446,Publishing,"Istanbul, Istanbul, Turkey",1
41711,Computer Software,"Istanbul, Istanbul, Turkey",0
29000,"Health, Wellness and Fitness","Gaziantep, Gaziantep, Turkey",1
19181,Computer Software,"Istanbul, Istanbul, Turkey",0
53471,Telecommunications,Turkey,0
24714,Information Technology and Services,"Urla, İzmir, Turkey",0
40250,Information Technology and Services,"Istanbul, Turkey",0
3022,Information Technology and Services,Turkey,0
13252,Automotive,Turkey,1
26426,Computer Software,"Ankara, Turkey",0
47569,Consumer Goods,"Ankara, Ankara, Turkey",0
38770,Telecommunications,"Istanbul, Istanbul, Turkey",1
5497,Industrial Automation,Turkey,0
2055,Information Technology and Services,"Maltepe, Istanbul, Turkey",1
49108,Construction,"Ankara, Ankara, Turkey",0
52056,Banking,"Istanbul, Istanbul, Turkey",0
27812,Computer Software,"Istanbul, Turkey",1
21771,Information Technology and Services,"Istanbul, Turkey",1
33112,Telecommunications,"Istanbul, Istanbul, Turkey",1
1042,Computer Software,"İzmir, Turkey",0
1010,Electrical/Electronic Manufacturing,Turkey,0
816,Education Management,Turkey,0
61554,Aviation & Aerospace,"Ankara, Ankara, Turkey",1
53575,Banking,"Istanbul, Turkey",0
20335,Information Technology and Services,"Istanbul, Turkey",1
36226,Information Technology and Services,"Umraniye, Istanbul, Turkey",0
29022,Computer Software,"Istanbul, Istanbul, Turkey",1
27883,Computer Software,"Istanbul, Turkey",1
56830,Computer Software,"Ankara, Turkey",1
35869,Food & Beverages,"Istanbul, Istanbul, Turkey",0
61455,Aviation & Aerospace,"Ankara, Turkey",1
44413,Food & Beverages,Turkey,0
38595,Banking,Turkey,1
36264,Computer Software,"Istanbul, Turkey",0
45129,Information Technology and Services,"Ankara, Ankara, Turkey",0
3089,Electrical/Electronic Manufacturing,"Ortahisar, Trabzon, Turkey",0
54517,Defense & Space,"Ankara, Ankara, Turkey",0
