user_id,language,proficiency
8,diğer türkçe fransızca,full_professional native_or_bilingual elementary
10,diğer,native_or_bilingual
11,türkçe ingilizce diğer,native_or_bilingual professional_working native_or_bilingual
12,türkçe ingilizce,native_or_bilingual professional_working
13,diğer almanca,full_professional limited_working
14,ingilizce türkçe,professional_working native_or_bilingual
17,türkçe diğer,native_or_bilingual native_or_bilingual
18,türkçe,native_or_bilingual
20,ingilizce türkçe,professional_working native_or_bilingual
22,türkçe diğer,native_or_bilingual professional_working
26,diğer türkçe,limited_working native_or_bilingual
32,ingilizce türkçe,professional_working native_or_bilingual
38,ingilizce türkçe,professional_working native_or_bilingual
39,diğer,limited_working
44,diğer türkçe,limited_working native_or_bilingual
49,ingilizce,native_or_bilingual
50,diğer,limited_working
53,almanca diğer,elementary limited_working
56,türkçe diğer,native_or_bilingual professional_working
57,ingilizce japonca türkçe,limited_working elementary native_or_bilingual
60,türkçe diğer,native_or_bilingual limited_working
63,ingilizce türkçe,full_professional native_or_bilingual
64,türkçe diğer,native_or_bilingual native_or_bilingual
66,türkçe diğer,native_or_bilingual limited_working
67,türkçe diğer,native_or_bilingual native_or_bilingual
70,türkçe ingilizce,native_or_bilingual limited_working
73,diğer diğer,professional_working elementary
75,diğer,native_or_bilingual
80,ingilizce türkçe,native_or_bilingual native_or_bilingual
81,türkçe diğer,native_or_bilingual professional_working
83,diğer almanca,professional_working elementary
85,ingilizce diğer,professional_working elementary
86,türkçe diğer,native_or_bilingual native_or_bilingual
92,diğer türkçe,professional_working native_or_bilingual
93,diğer,elementary
99,türkçe diğer,native_or_bilingual native_or_bilingual
100,diğer almanca,native_or_bilingual native_or_bilingual
102,türkçe ingilizce,native_or_bilingual limited_working
107,türkçe diğer,native_or_bilingual professional_working
110,ingilizce,professional_working
111,diğer türkçe,limited_working native_or_bilingual
114,diğer türkçe,limited_working native_or_bilingual
115,türkçe diğer,native_or_bilingual limited_working
119,diğer,limited_working
120,türkçe almanca diğer,native_or_bilingual native_or_bilingual native_or_bilingual
122,diğer,native_or_bilingual
125,türkçe diğer,native_or_bilingual professional_working
129,türkçe diğer diğer almanca,native_or_bilingual professional_working professional_working elementary
130,türkçe diğer,native_or_bilingual professional_working
134,diğer türkçe,limited_working native_or_bilingual
135,türkçe diğer,native_or_bilingual professional_working
136,türkçe diğer diğer,native_or_bilingual professional_working elementary
140,türkçe almanca diğer,native_or_bilingual native_or_bilingual native_or_bilingual
141,diğer almanca,full_professional limited_working
149,diğer almanca,native_or_bilingual native_or_bilingual
154,türkçe diğer,native_or_bilingual native_or_bilingual
156,diğer almanca,native_or_bilingual native_or_bilingual
157,ingilizce türkçe,professional_working native_or_bilingual
159,türkçe diğer diğer,native_or_bilingual professional_working elementary
163,diğer,limited_working
164,türkçe diğer,native_or_bilingual limited_working
166,diğer diğer,professional_working elementary
167,ingilizce,professional_working
169,ingilizce türkçe,professional_working native_or_bilingual
171,ingilizce türkçe,native_or_bilingual native_or_bilingual
172,diğer almanca,native_or_bilingual native_or_bilingual
175,diğer almanca,professional_working limited_working
180,diğer,limited_working
188,diğer türkçe,native_or_bilingual native_or_bilingual
189,diğer türkçe,limited_working native_or_bilingual
194,ingilizce türkçe,professional_working native_or_bilingual
195,diğer türkçe,limited_working native_or_bilingual
197,ingilizce,limited_working
198,ingilizce arapça türkçe,full_professional native_or_bilingual full_professional
201,türkçe ingilizce,native_or_bilingual limited_working
202,diğer,limited_working
203,türkçe diğer almanca,native_or_bilingual native_or_bilingual native_or_bilingual
206,diğer türkçe,professional_working native_or_bilingual
210,rusça diğer,elementary professional_working
216,türkçe diğer,native_or_bilingual limited_working
218,diğer türkçe,limited_working native_or_bilingual
220,diğer,full_professional
222,türkçe diğer,native_or_bilingual professional_working
223,türkçe diğer diğer,native_or_bilingual full_professional elementary
224,türkçe diğer,native_or_bilingual professional_working
226,türkçe diğer,native_or_bilingual native_or_bilingual
227,diğer,elementary
228,türkçe diğer almanca,native_or_bilingual limited_working elementary
233,türkçe diğer,native_or_bilingual limited_working
235,diğer,professional_working
236,diğer,full_professional
237,diğer,professional_working
238,türkçe ingilizce diğer,native_or_bilingual elementary native_or_bilingual
243,diğer diğer türkçe diğer,professional_working elementary native_or_bilingual elementary
244,ingilizce,full_professional
248,türkçe diğer,native_or_bilingual elementary
249,diğer,native_or_bilingual
251,türkçe ingilizce,native_or_bilingual limited_working
255,diğer türkçe,limited_working native_or_bilingual
256,türkçe diğer,native_or_bilingual full_professional
260,diğer,full_professional
268,türkçe diğer almanca,native_or_bilingual professional_working elementary
276,türkçe diğer,native_or_bilingual professional_working
277,ingilizce diğer,limited_working native_or_bilingual
278,ingilizce türkçe,full_professional native_or_bilingual
281,türkçe diğer,native_or_bilingual professional_working
282,diğer türkçe ingilizce,elementary native_or_bilingual professional_working
286,türkçe diğer,native_or_bilingual professional_working
290,diğer,professional_working
292,diğer,limited_working
304,diğer,native_or_bilingual
305,arapça ingilizce türkçe,native_or_bilingual limited_working professional_working
307,diğer,limited_working
310,diğer,limited_working
311,türkçe diğer,native_or_bilingual limited_working
314,türkçe ingilizce diğer,full_professional professional_working full_professional
320,diğer türkçe,limited_working native_or_bilingual
321,diğer,limited_working
322,diğer türkçe,professional_working native_or_bilingual
327,diğer diğer,limited_working elementary
334,türkçe diğer,native_or_bilingual native_or_bilingual
337,diğer,native_or_bilingual
338,diğer almanca,limited_working elementary
341,türkçe diğer,native_or_bilingual professional_working
345,türkçe diğer,native_or_bilingual professional_working
346,diğer,limited_working
347,türkçe diğer japonca,native_or_bilingual limited_working elementary
351,türkçe diğer,native_or_bilingual native_or_bilingual
353,diğer türkçe,limited_working native_or_bilingual
356,türkçe ingilizce,native_or_bilingual professional_working
358,diğer almanca,professional_working elementary
361,diğer,elementary
364,ingilizce türkçe,native_or_bilingual native_or_bilingual
372,diğer türkçe,limited_working native_or_bilingual
373,türkçe diğer,native_or_bilingual native_or_bilingual
377,diğer,professional_working
378,türkçe diğer,native_or_bilingual professional_working
381,türkçe diğer,native_or_bilingual limited_working
383,diğer,elementary
388,diğer türkçe,professional_working native_or_bilingual
390,türkçe ingilizce,native_or_bilingual professional_working
395,diğer,professional_working
398,diğer diğer türkçe,limited_working elementary native_or_bilingual
404,türkçe diğer,native_or_bilingual limited_working
406,diğer türkçe,professional_working native_or_bilingual
409,diğer türkçe,elementary native_or_bilingual
